x,y,theta
6.054297599999606e-05,0.0,0.0
0.0004697272319999931,0.0,0.0
0.0015368071679999911,0.0,0.0
0.0035297034239999896,0.0,0.0
0.006676799999999988,0.0,0.0
0.011168741375999986,0.0,0.0
0.017160229631999986,0.0,0.0
0.024771821567999983,0.0,0.0
0.034091725823999976,0.0,0.0
0.04517759999999997,0.0,0.0
0.058058347775999976,0.0,0.0
0.07273591603199998,0.0,0.0
0.08918709196800002,0.0,0.0
0.10736530022400002,0.0,0.0
0.12720240000000005,0.0,0.0
0.1486104821760001,0.0,0.0
0.17148366643200014,0.0,0.0
0.19569989836800014,0.0,0.0
0.22112274662400014,0.0,0.0
0.24760320000000013,0.0,0.0
0.27498146457600015,0.0,0.0
0.3030887608320002,0.0,0.0
0.33174912076800017,0.0,0.0
0.3607811850240003,0.0,0.0
0.3900000000000003,0.0,0.0
0.4192188149760003,0.0,0.0
0.44825087923200035,0.0,0.0
0.4769112391680002,0.0,0.0
0.5050185354240003,0.0,0.0
0.5323968000000003,0.0,0.0
0.5588772533760004,0.0,0.0
0.5843001016320004,0.0,0.0
0.6085163335680005,0.0,0.0
0.6313895178240004,0.0,0.0
0.6527976000000004,0.0,0.0
0.6726346997760001,0.0,0.0
0.6908129080320004,0.0,0.0
0.7072640839680003,0.0,0.0
0.7219416522239999,0.0,0.0
0.7348224000000003,0.0,0.0
0.7459082741760004,0.0,0.0
0.7552281784320001,0.0,0.0
0.7628397703680002,0.0,0.0
0.7688312586239998,0.0,0.0
0.7733232,0.0,0.0
0.7764702965760009,0.0,0.0
0.7784631928320004,0.0,0.0
0.779530272768,0.0,0.0
0.7799394570239992,0.0,0.0
0.7800000000000005,0.0,0.0
0.78,-9.314303999019558e-05,0.0
0.78,-0.0007226572800007602,0.0
0.78,-0.002364318720012193,0.0
0.78,-0.005430312960001515,0.0
0.78,-0.010272000000000503,0.0
0.78,-0.017182679039997595,0.0
0.78,-0.026400353280010336,0.0
0.78,-0.03811049471998729,0.0
0.78,-0.05244880895998705,0.0
0.78,-0.0695039999999949,0.0
0.78,-0.08932053503998816,0.0
0.78,-0.11190140927998726,0.0
0.78,-0.13721091071999325,0.0
0.78,-0.16517738495999623,0.0
0.78,-0.19569599999995546,0.0
0.78,-0.22863151103999257,0.0
0.78,-0.26382102527998796,0.0
0.78,-0.3010767667199872,0.0
0.78,-0.34018884095999624,0.0
0.78,-0.38092799999997595,0.0
0.78,-0.42304840703994984,0.0
0.78,-0.46629040127999843,0.0
0.78,-0.5103832627199978,0.0
0.78,-0.5550479769599477,0.0
0.78,-0.5999999999999943,0.0
0.78,-0.6449520230399628,0.0
0.78,-0.6896167372800335,0.0
0.78,-0.7337095987200257,0.0
0.78,-0.7769515929600033,0.0
0.78,-0.8190720000000269,0.0
0.78,-0.8598111590399498,0.0
0.78,-0.8989232332800228,0.0
0.78,-0.9361789747199296,0.0
0.78,-0.971368488959925,0.0
0.78,-1.0043039999999763,0.0
0.78,-1.0348226150399853,0.0
0.78,-1.0627890892800593,0.0
0.78,-1.0880985907200227,0.0
0.78,-1.110679464959972,0.0
0.78,-1.1304960000000008,0.0
0.78,-1.1475511910400016,0.0
0.78,-1.1618895052799658,0.0
0.78,-1.1735996467199499,0.0
0.78,-1.1828173209598987,0.0
0.78,-1.1897280000000805,0.0
0.78,-1.1945696870398947,0.0
0.78,-1.1976356812800404,0.0
0.78,-1.199277342720002,0.0
0.78,-1.199906856960034,0.0
0.78,-1.1999999999999673,0.0
0.7800776192002559,-1.2,0.0001218621442831136
0.7806022144002327,-1.2,0.0009454766079670662
0.7819702655999663,-1.2,0.0030933169917943815
0.7845252608000237,-1.2,0.007104659456445006
0.7885599999997339,-1.2,0.01343919999976606
0.7943188991999932,-1.2,0.022480671743778657
0.8020002944002727,-1.2,0.03454046220872442
0.8117587456001729,-1.2,0.04986123059222791
0.8237073407998423,-1.2,0.0686205250558487
0.8379200000003948,-1.2,0.09093439999981001
0.8544337792000078,-1.2,0.11686103334375275
0.8732511744000249,-1.2,0.14640434380862644
0.8943424256001435,-1.2,0.17951760819175888
0.9176478208000844,-1.2,0.21610707865568202
0.943080000000009,-1.2,0.2560356000004731
0.9705262592000281,-1.2,0.29912622694371294
0.9998508544001652,-1.2,0.3451658414078338
1.0308973055999786,-1.2,0.3939087697906416
1.0634907007996617,-1.2,0.44508040025596074
1.0974399999998923,-1.2,0.4983808000007457
1.1325403392000908,-1.2,0.553488332543111
1.1685753344002023,-1.2,0.6100632750074055
1.2053193855998643,-1.2,0.667751435392347
1.2425399807995063,-1.2,0.7261877698568924
1.2799999999997453,-1.2,0.7849999999997408
1.317460019200098,-1.2,0.8438122301436124
1.35468061439974,-1.2,0.9022485646070209
1.3914246655998568,-1.2,0.9599367249919624
1.4274596607999683,-1.2,1.01651166745512
1.4625599999995984,-1.2,1.0716191999998728
1.4965092991999427,-1.2,1.124919599744203
1.5291026944000805,-1.2,1.1760912302081579
1.5601491456003487,-1.2,1.2248341585910794
1.5894737407998036,-1.2,1.2708737730552002
1.6169200000001638,-1.2,1.3139644000001454
1.642352179200202,-1.2,1.3538929213444817
1.6656575744000293,-1.2,1.3904823918082911
1.6867488256000343,-1.2,1.4235956561909688
1.7055662208000513,-1.2,1.453138966655274
1.7220799999996643,-1.2,1.4790655999997853
1.736292659199762,-1.2,1.5013794749440876
1.7482412543998862,-1.2,1.5201387694082769
1.757999705600355,-1.2,1.535459537792235
1.765681100800407,-1.2,1.5475193282559303
1.7714399999997568,-1.2,1.5565607999993745
1.7754747392003765,-1.2,1.5628953405433776
1.7780297344000928,-1.2,1.5669066830071188
1.7793977856006222,-1.2,1.5690545233932198
1.7799223808000306,-1.2,1.56987813785679
1.7800000000003138,-1.2,1.570000000000391
1.78,-1.1999611904000176,1.5698781378569038
1.78,-1.199698892799688,1.5690545233919693
1.78,-1.199014867200276,1.566906683007801
1.78,-1.1977373695997358,1.5628953405430366
1.78,-1.1957199999992554,1.5565608000033535
