x,y,theta
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
0.0,0.5,1.57
