vx,vy,angular,x,y,theta
0.0,0.343,0.751,-1.1260909626482913,0.0008967365965987954,-2.2476034381075856
0.0,0.412,0.819,-1.0940187706073166,-0.02486987430288069,-2.1658216435585858
0.004,0.456,0.854,-1.0565280280067029,-0.05072819716087516,-2.080530774510586
-0.255,0.363,0.614,-1.0123966501859172,-0.046181973673715064,-2.019125990836586
-0.579,0.265,0.409,-0.9634289111487776,-0.005499707096465273,-1.978234937711586
-0.672,0.23,0.444,-0.9156131744674583,0.0471622993969907,-1.9337698943755859
-0.706,0.206,0.478,-0.8713188723471201,0.1058079262982694,-1.886002716245586
-0.79,0.181,0.444,-0.8296551251600165,0.1752453711853042,-1.8416405290615858
-0.765,0.196,0.546,-0.7902273024446249,0.2438434497651813,-1.7869362703615859
-0.687,0.304,0.478,-0.7458687439681618,0.3043332051027435,-1.7392089837215858
-0.677,0.314,0.478,-0.7035334400755648,0.3658584567055418,-1.6913730156555857
-0.657,0.333,0.478,-0.6626072921971512,0.4270239732077468,-1.6436136050255858
-0.667,0.343,0.409,-0.6235339295246334,0.4910708656388939,-1.6027014209155859
-0.647,0.333,0.409,-0.5881910322121429,0.5546683642861274,-1.5618061244155859
-0.554,0.446,0.649,-0.5441097559660417,0.6104432062787871,-1.496933895774586
-0.525,0.466,0.58,-0.5014997444934991,0.6662537518130872,-1.438918478794586
-0.52,0.481,0.546,-0.46067303341328986,0.7241019033818749,-1.3843423204305858
-0.51,0.471,0.546,-0.42383515618031264,0.7829625335648975,-1.3297298994765858
-0.431,0.461,0.683,-0.38935062767616907,0.8358331006964788,-1.2614156712205857
-0.397,0.407,0.854,-0.36267144617565,0.8860381065085039,-1.1760190880745858
-0.343,0.373,0.888,-0.3414400451812141,0.9320288263195246,-1.0872512780745858
-0.319,0.358,0.99,-0.32457039260974957,0.976929061301351,-0.9882218681445858
-0.319,0.348,0.99,-0.3130527516681451,1.0227471891584594,-0.8891484467745858
-0.181,0.112,0.922,-0.3157580429130027,1.043844940189727,-0.7970111796545858
-0.122,0.024,1.127,-0.3225659162341908,1.0542463079803837,-0.6843346584455858
-0.083,-0.034,0.854,-0.33114722697339594,1.05685900571838,-0.5989266530495858
-0.073,-0.044,0.99,-0.3396649611563385,1.0573407284315057,-0.4998354948395858
-0.053,-0.063,1.059,-0.34732909906353054,1.0543543554733021,-0.39403128774358576
0.019,-0.166,0.819,-0.3519489753267312,1.0382924527204722,-0.31210811823358575
0.132,-0.299,0.854,-0.3485598430639573,1.0057057550221424,-0.22650334440558575
0.147,-0.323,0.888,-0.34150536095118184,0.9710101490154993,-0.13790909400558576
0.152,-0.338,0.922,-0.3310967925950221,0.9354433623736016,-0.04571397415158576
0.157,-0.363,0.888,-0.31707355896132605,0.8984678471262971,0.043076368848414245
0.191,-0.368,0.99,-0.29629500208435,0.8623304764358426,0.14261074312841426
0.274,-0.402,1.024,-0.2636414390654071,0.8266316531792564,0.24444372258441427
0.299,-0.387,0.99,-0.22525485826652397,0.7963109936310016,0.3434679756044143
0.314,-0.412,0.956,-0.18168910283001402,0.7680099717984253,0.4393440894364143
0.323,-0.402,0.888,-0.13550645696162358,0.7454391076843565,0.5278589775004143
0.328,-0.407,1.059,-0.08666356747756199,0.7267969263373651,0.6337750372354143
0.245,-0.343,1.093,-0.04657264480804376,0.7136547006134866,0.7431752697074143
0.215,-0.294,1.024,-0.010595805162637313,0.7065040312433075,0.8463004060914143
0.191,-0.289,0.922,0.02342924566567023,0.7016919265298374,0.9377614101834143
0.181,-0.279,0.922,0.05663285221050396,0.6997792102271165,1.0299663272094144
0.034,-0.161,0.99,0.07231319386755108,0.6943608185204018,1.1297787162594144
-0.019,-0.117,1.093,0.08200056394619357,0.6877047727556874,1.2381600355504143
-0.044,-0.083,0.99,0.08840722142641234,0.6808374458151926,1.3371350380504143
-0.053,-0.073,1.059,0.0942829783351539,0.6739897094187551,1.4430584673664144
-0.058,-0.058,1.024,0.09946374640504216,0.6672820214812988,1.5488669005184144
-0.073,0.014,0.444,0.09795593475511155,0.6602564126205563,1.5917888209664144
-0.098,0.058,0.273,0.09235654128341803,0.6503255041390389,1.6191199757264143
-0.103,0.073,0.17,0.08556863802800334,0.6396943547437272,1.6361048744564144
-0.107,0.078,0.0,0.07848332332540826,0.6285077294539784,1.6361048744564144
-0.107,0.088,0.068,0.07039279744790723,0.6172456668212783,1.6429112605404144
-0.083,0.083,-0.17,0.06271967950917358,0.6083776110691597,1.6259273605604143
-0.078,0.078,-0.068,0.05526044913567758,0.6000469866517696,1.6190341302484144
-0.078,0.078,-0.136,0.047948668841937936,0.591993441380032,1.6056231182964145
-0.068,0.078,-0.136,0.040376294247333855,0.5849129936304812,1.5919981462484145
