vx,vy,angular,x,y,theta
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.004,0.034,0.00040027896,0.00040027896,0.00340237116
-0.004,0.024,-0.034,-7.734032424072288e-06,0.002798020469309757,3.6237199999996327e-06
0.0,0.0,0.0,-7.734032424072288e-06,0.002798020469309757,3.6237199999996327e-06
0.004,0.014,-0.034,0.0003920653688451883,0.004197337570080031,-0.0033947142920000006
0.009,0.029,-0.068,0.0013042331147454997,0.0071016788620658685,-0.010212115492
0.004,0.034,-0.034,0.0017381905881593425,0.010491618509550467,-0.013606309924000002
-0.014,0.053,0.034,0.0004112192748934487,0.015807020185409568,-0.010208327450000002
0.0,0.078,0.068,0.0004909430618777223,0.023616430494614198,-0.003399768834000001
-0.009,0.088,0.068,-0.00037839567289705417,0.03241197112692044,0.0033944621819999993
-0.004,0.073,0.102,-0.0008032514403227049,0.039711920872188,0.013596348263999998
0.0,0.078,0.0,-0.0009094545505503327,0.04752258913582885,0.013596348263999998
-0.004,0.093,-0.034,-0.0014354977869172354,0.056809901197361276,0.010198685967999999
0.0,0.098,0.068,-0.001535327111194259,0.06659801148698444,0.016990789196
0.0,0.107,0.0,-0.0017171672090625012,0.07729925656443452,0.016990789196
0.004,0.112,0.034,-0.0015075199828324284,0.0885040428675774,0.020390669924
0.0,0.117,0.0,-0.0017463158969475646,0.10021345793888707,0.020390669924
-0.004,0.132,0.034,-0.0024144515202490485,0.11338443372545305,0.023785997644000002
-0.004,0.142,-0.102,-0.0031522185240266737,0.12757380441095698,0.013583911846000002
0.0,0.137,0.0,-0.0033387644932717604,0.1413058204334732,0.013583911846000002
0.0,0.137,0.0,-0.0035243835140674616,0.15496960195587922,0.013583911846000002
0.004,0.142,-0.034,-0.003317338493551475,0.1691714987664401,0.010184444796000001
0.0,0.157,0.0,-0.0034783112079203675,0.18497669502749325,0.010184444796000001
0.0,0.147,-0.068,-0.003627152599747378,0.19959077057947272,0.003423841548
0.004,0.152,0.034,-0.0032795104113602785,0.21477836910859055,0.006820781378000001
0.004,0.152,0.034,-0.0029828918418309215,0.22999628642997597,0.010224257470000001
0.004,0.161,0.034,-0.0027475906632638027,0.24609472918846914,0.013623242876000002
0.004,0.152,0.034,-0.002554847628534362,0.26128671148747973,0.017020546778000002
0.004,0.152,-0.034,-0.0024134731655946484,0.2765055512061604,0.013617363936000002
0.004,0.161,-0.034,-0.0022295662965974277,0.29289256850066764,0.010157601286000002
0.004,0.152,-0.034,-0.0019885542451994814,0.30781266270053936,0.006820931556000002
0.004,0.152,0.034,-0.0016921335189810538,0.3230205469551985,0.010222163750000002
0.0,0.157,0.0,-0.0018526511113029346,0.3387228977724977,0.010222163750000002
-0.004,0.142,-0.034,-0.002400290112387533,0.35298336742095876,0.006806523138000002
-0.009,0.137,0.0,-0.0033884603955452505,0.36660719665531677,0.006806523138000002
0.014,0.122,0.034,-0.002071308007305081,0.3788185175828684,0.010207100832000002
0.0,0.107,-0.136,-0.0021814855436459064,0.389612347471375,-0.0035128742879999997
-0.009,0.107,0.0,-0.003036349306637213,0.40022182883408,-0.0035128742879999997
-0.009,0.098,0.0,-0.0039016824467533414,0.41002226605240216,-0.0035128742879999997
0.004,0.093,0.034,-0.0034663937725035493,0.41937714224601885,-9.227409599999944e-05
0.014,0.093,0.034,-0.0020738460662118544,0.42862184256229535,0.003287555778000001
0.009,0.068,-0.068,-0.0011962111046339508,0.4354247271258202,-0.003512406754
0.009,0.078,-0.068,-0.0002689092755207833,0.44322076678713557,-0.01031175171
0.004,0.063,0.034,0.00020006979808200438,0.44957097636703464,-0.006882226824
-0.004,0.053,0.034,-0.0001603039142820666,0.4548277812769976,-0.0035116077879999994
0.004,0.044,0.102,0.00025508074934533267,0.45922567283200416,0.006686823044
0.0,0.039,0.068,0.000228957113063187,0.46313234820661214,0.013498614448
-0.009,0.029,0.0,-0.0007087271789844038,0.46601569675548477,0.013498614448
0.004,0.034,-0.102,-0.0003543470078300035,0.4694237724419489,0.0032896693540000015
0.004,0.024,-0.034,3.7515445261398074e-05,0.4718236043549148,-0.00010824790799999909
0.009,0.019,0.068,0.0009463983464604176,0.4737418204044808,0.006757298448000002
-0.004,0.014,0.034,0.0005408825705954481,0.475125656413816,0.010124621014000003
0.014,0.024,0.17,0.0019167561770345389,0.47754013588526706,0.027127636814000006
0.029,0.029,0.136,0.004749964815491304,0.48053138712617877,0.04079001783800001
0.034,0.034,0.102,0.007991545065585616,0.48404882067735755,0.050936978756000006
0.024,0.024,0.102,0.010267134631403631,0.4865688985373528,0.06114100673600001
0.039,0.039,0.136,0.013920977715826226,0.4906992702918055,0.07473889193600002
0.029,0.019,0.204,0.016697447196531785,0.4928308032519795,0.09533500407200002
0.053,0.004,0.375,0.021884766382774354,0.4937247876946817,0.13247318457200002
0.073,-0.004,0.375,0.02917227885159112,0.494292414602024,0.16996618144700004
0.078,-0.009,0.409,0.037081054093371035,0.49472854696672675,0.21122581310200006
0.098,-0.009,0.409,0.046767984029252946,0.49589311131112473,0.25177438803200003
0.098,-0.019,0.409,0.056732731327235233,0.4964944415785044,0.292675985995
0.107,-0.029,0.478,0.06782946699306905,0.49680530041040133,0.340540928031
0.127,-0.029,0.478,0.08074940508004255,0.49831134242734854,0.388269465119
0.137,-0.039,0.409,0.09492195058852179,0.4998900427241709,0.429215131196
0.157,-0.049,0.409,0.11124232349562659,0.5019688536633605,0.470128436784
0.166,-0.049,0.478,0.12824709630006897,0.5051176750240355,0.517889118416
0.157,-0.058,0.478,0.1447558784415875,0.5078498816227003,0.56567843894
0.161,-0.053,0.58,0.16118136403416813,0.5120030656270177,0.62365274552
0.176,-0.078,0.546,0.18003537075875511,0.5159523896553351,0.6782874105140001
0.181,-0.083,0.58,0.19932552840203982,0.5208437760075717,0.7362534520940001
0.171,-0.083,0.58,0.21757889942774922,0.5261790841251132,0.794281623854
0.171,-0.103,0.58,0.23692472346458235,0.5311630882151559,0.8523253587540001
0.176,-0.098,0.546,0.25585885098043604,0.5379517313159864,0.906843684252
0.166,-0.107,0.478,0.2745160024626615,0.5444318166029684,0.954645571874
0.157,-0.117,0.546,0.2931451638477722,0.5504858183882083,1.0092681113
0.157,-0.117,0.546,0.31143177947122686,0.5575539483397073,1.063937763974
0.152,-0.122,0.512,0.3294466916914253,0.5649084544339322,1.11505317543
0.137,-0.117,0.409,0.3460035315199682,0.5720698186512083,1.1560056926659998
0.127,-0.127,0.478,0.36277276787534135,0.5785857108791622,1.203885949344
0.132,-0.122,0.444,0.3788493656759245,0.5865075890443442,1.248157485492
0.127,-0.107,0.409,0.3930218151349801,0.5951582713941093,1.289051006114
0.112,-0.112,0.444,0.4068945106450124,0.6028028898324598,1.333452056618
0.098,-0.107,0.409,0.4196188343081248,0.6098234331665867,1.374416740786
0.093,-0.093,0.239,0.4305405662790143,0.6171206265183842,1.39828585864
0.068,-0.088,0.273,0.440375195467448,0.6223080581310168,1.425580271149
0.063,-0.093,0.307,0.45050758784301775,0.6272049839313485,1.4563368184
0.053,-0.053,0.307,0.45645573592848226,0.6319265235343035,1.4874421827350002
0.058,-0.049,0.204,0.4617441342965054,0.6372208533409058,1.5075476061230002
0.044,-0.053,0.17,0.4673106453134495,0.6412763318511421,1.5245445517330003
0.034,-0.044,0.102,0.47188601870698654,0.6444853068409128,1.5347958125470003
0.029,-0.029,0.0,0.4748728795665633,0.6472644971685835,1.5347958125470003
0.024,-0.034,0.102,0.4783584756069673,0.649541492117594,1.5449999593570003
0.029,-0.029,0.068,0.48135447836367395,0.6523867774277629,1.5518506453330003
0.004,-0.014,-0.034,0.48275085558069114,0.6527572780839705,1.5484770981830003
0.014,-0.024,0.102,0.48518625064064197,0.6541059974006018,1.5586970248010004
0.014,-0.014,-0.034,0.4866004992367201,0.6554864306469639,1.5553032341530004
0.009,-0.009,0.068,0.4875207820126016,0.6563786302188904,1.5621512115530005
0.019,-0.019,0.0,0.4894223665304857,0.65824761690211,1.5621512115530005
0.0,-0.009,0.0,0.4903242028037086,0.6582398202293617,1.5621512115530005
0.004,-0.004,-0.034,0.4907269981475326,0.6586357106705121,1.5587566701170006
0.0,0.0,0.0,0.4907269981475326,0.6586357106705121,1.5587566701170006
0.004,-0.004,0.102,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
0.0,0.0,0.0,0.4911312913794337,0.6590303841526693,1.5689442340730007
