vx,vy,angular,x,y,theta
0.029,0.0,0.068,0.034962300936,0.0,0.081980567712
0.058,0.0,0.0,0.040710392770068216,0.00047229036467234516,0.081980567712
0.088,0.0,-0.068,0.049665853969545,0.0012081133399842138,0.075037118856
0.176,0.0,-0.136,0.06683851756684603,0.002499124491983363,0.061729887280000006
0.215,-0.009,-0.136,0.08845550686398185,0.002929226314522997,0.048065145568000005
0.255,0.0,-0.136,0.11379106282777927,0.0041479221452324425,0.034537225568000006
0.274,-0.009,-0.068,0.14121055221322826,0.00419459881061184,0.027736046856000007
0.294,-0.009,-0.068,0.1706451976356791,0.004110220015951533,0.020931193356000008
0.279,-0.004,-0.17,0.1994925075818891,0.004300478225566441,0.003355403356000007
0.289,0.004,-0.102,0.227413197876319,0.004780631594642698,-0.0064994710759999925
0.289,-0.004,-0.102,0.2563335989731887,0.004192326345710096,-0.01670780539399999
0.279,-0.004,-0.034,0.2848760878037097,0.0033059759737588176,-0.020187420643999993
0.294,0.0,-0.068,0.3135775988210503,0.0027264877756089856,-0.026827218287999995
0.294,0.0,0.0,0.34289834678623143,0.0019397049114078515,-0.026827218287999995
0.274,0.0,0.0,0.37045368427861547,0.0012002944645109234,-0.026827218287999995
0.284,0.0,0.068,0.39859633211408274,0.0004451243339096522,-0.020086412287999993
0.274,0.009,0.0,0.4261005763765123,0.0007957811292695938,-0.020086412287999993
0.299,0.004,0.034,0.45624923296041636,0.000593502199123636,-0.016658366537999993
0.304,-0.009,0.0,0.4869468820859048,-0.000827430613808568,-0.016658366537999993
0.328,-0.004,0.034,0.5192003230005258,-0.0017582937280872265,-0.013313878609999993
0.299,-0.004,0.102,0.5491474484838111,-0.0025578025335079926,-0.0030950766439999926
0.274,-0.009,0.0,0.5765906730258484,-0.003544261759101191,-0.0030950766439999926
0.255,0.0,0.0,0.6019527559223342,-0.0036227596001741306,-0.0030950766439999926
0.235,0.009,0.068,0.6255049215617331,-0.0027937560238596895,0.0037192430000000084
0.24,0.004,0.034,0.6495629637613864,-0.0023032801327863618,0.007127700500000009
0.25,-0.004,0.034,0.674439356116647,-0.002523962765681631,0.01051059000000001
0.23,0.004,0.034,0.6976340010511386,-0.0018766609290280984,0.01394017992800001
0.211,0.004,-0.034,0.7185560629650106,-0.0011881760045409342,0.01056763350000001
0.196,0.0,0.0,0.738183019495028,-0.000980757800019581,0.01056763350000001
0.161,0.004,0.034,0.7542585864568894,-0.0004113282987562464,0.01396355492800001
0.127,0.0,0.204,0.7669506390846484,-0.0002340906052700577,0.03435277679200001
0.073,-0.004,-0.034,0.774267541399744,-0.0003832809865060822,0.03094930168600001
0.024,0.004,0.034,0.7766488048364718,8.975905591148667e-05,0.03434187975800001
0.004,-0.004,0.034,0.7770776634631332,-0.0003106110954485409,0.03786818125800001
0.0,0.0,0.0,0.7770776634631332,-0.0003106110954485409,0.03786818125800001
0.0,0.0,0.0,0.7770776634631332,-0.0003106110954485409,0.03786818125800001
0.0,0.0,0.0,0.7770776634631332,-0.0003106110954485409,0.03786818125800001
0.0,0.0,0.0,0.7770776634631332,-0.0003106110954485409,0.03786818125800001
0.004,0.004,0.034,0.7774622886460771,0.00010430577156751833,0.04126867283000001
0.004,0.004,-0.034,0.7778456753447811,0.0005207178552277263,0.037866631402000014
0.0,0.0,0.0,0.7778456753447811,0.0005207178552277263,0.037866631402000014
0.0,0.0,0.0,0.7778456753447811,0.0005207178552277263,0.037866631402000014
0.004,-0.004,0.034,0.7782610106246854,0.00013570360945006126,0.04127055700800002
0.0,0.0,0.0,0.7782610106246854,0.00013570360945006126,0.04127055700800002
0.004,0.004,-0.034,0.7786334050730893,0.0005401780867393481,0.03796605025800002
0.009,0.0,-0.068,0.7795384883840585,0.0005745570449826143,0.031122711546000017
0.0,-0.009,-0.068,0.7795665817512231,-0.00032781599884483775,0.024301478546000017
0.0,-0.019,-0.136,0.7796124025420423,-0.002212959339960764,0.010803835546000016
0.0,-0.049,-0.341,0.7796655595126452,-0.0071329622545833965,-0.02343736675699999
0.009,-0.088,-0.546,0.7803630461633543,-0.01600203953007263,-0.078349428689
0.034,-0.112,-0.58,0.7828571075528252,-0.02734785333187393,-0.135913389329
0.063,-0.161,-0.375,0.78690691260165,-0.04410904007791512,-0.173315295704
0.073,-0.211,-0.034,0.7904613675047757,-0.06616727347870063,-0.176717681382
0.103,-0.269,0.17,0.7959129410821825,-0.09467338851990723,-0.159588899412
0.127,-0.265,0.068,0.8041781995553212,-0.12264439862842133,-0.152839675556
